pdf_file_name,this_quarter_total_income,previous_quarter_total_income,same_quarter_last_year_total_income,this_quarter_other_income,previous_quarter_other_income,same_quarter_last_year_other_income,this_quarter_expenses,previous_quarter_expenses,same_quarter_last_year_expenses,this_quarter_comprehensive_income,previous_quarter_comprehensive_income,same_quarter_last_year_comprehensive_income
121_ARCHIDPLY_30012026150251_Outcome.pdf,16828.74,17602.37,15115.27,28.86,30.66,39.64,16446.34,17274.24,15323.92,166.88,266.97,-158.24
123_PRACHI_30012026150034_BMOutcome30012026.pdf,1399.81,1413.07,1176.57,24.97,59.34,30.44,1041.21,1072.26,869.18,276.28,268.49,234.32
125_INSECTICID_30012026150327_STXOutcome30012026.pdf,38445.26,64392.33,35943.63,88.88,267.44,20.92,37221.85,56973.11,33950.04,732.79,5670.05,1430.1
129_INSECTICID_30012026145853_STXOutcome30012026.pdf,38445.26,64392.33,35943.63,88.88,267.44,20.92,37221.85,56973.11,33950.04,732.79,5670.05,1430.1
138_bharatsahu_30012026145306_SELetter_Outcome.pdf,4925.01,4443.81,4761.31,194.06,151.47,99.09,2793.37,2548.58,2639.41,1600.46,1444.06,1560.4
145_INSECTICID_30012026145026_STXOutcome30012026.pdf,38445.26,64392.33,35943.63,88.88,267.44,20.92,37221.85,56973.11,33950.04,732.79,5670.05,1430.1
149_FIBERWEB_30012026144416_FIL.pdf,2026.01,2518.35,7484.11,38.23,3.0,96.1,nan,nan,nan,nan,nan,nan
156_AMBUJACEM_30012026144049_ACL_Outcome.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
159_INSECTICID_30012026143811_STXOutcome30012026.pdf,38445.26,64392.33,35943.63,88.88,267.44,20.92,37221.85,56973.11,33950.04,732.79,5670.05,1430.1
160_AMBUJACEM_30012026143638_ACL_Outcome.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
167_MFL_30012026143338_Outcome.pdf,602.68,589.1,649.1,5.56,1.74,3.86,548.08,519.15,495.57,39.11,51.22,103.63
169_NESTLEIND1_30012026143213_BSENSEOutcomeResults30012026signed.pdf,56787.5,56452.5,47841.7,nan,nan,nan,46676.3,46167.3,38619.1,1928.3,1928.3,964.2
172_AMBUJACEM_30012026142919_ACL_Outcome.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
173_NESTLEIND1_30012026143006_BSENSEOutcomeResults30012026signed.pdf,56787.5,56452.5,47841.7,nan,nan,nan,46676.3,46167.3,38619.1,1928.3,1928.3,964.2
176_MFL_30012026142637_Outcome.pdf,602.68,589.1,649.1,5.56,1.74,3.86,548.08,519.15,495.57,39.11,51.22,103.63
183_NESTLEIND1_30012026141052_BSENSEOutcomeResults30012026signed.pdf,56787.5,56452.5,47841.7,nan,nan,nan,46676.3,46167.3,38619.1,1928.3,1928.3,964.2
185_PGHH_30012026141813_PGHH_OutcomeofBoardMeeting_30012026.pdf,127431.0,116007.0,125734.0,1241.0,990.0,971.0,87227.0,87829.0,89321.0,30266.0,21403.0,26207.0
187_PGHH_30012026141426_PGHH_OutcomeofBoardMeeting_30012026.pdf,127431.0,116007.0,125734.0,1241.0,990.0,971.0,87227.0,87829.0,89321.0,30266.0,21403.0,26207.0
188_BRIGADE_30012026140728_Results.pdf,162318.0,142986.0,152968.0,4807.0,4649.0,6574.0,133416.0,123406.0,124084.0,20569.0,17035.0,23552.0
188_BRIGADE_30012026140728_Results.pdf,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
190_PGHH_30012026141329_PGHH_OutcomeofBoardMeeting_30012026.pdf,127431.0,116007.0,125734.0,1241.0,990.0,971.0,87227.0,87829.0,89321.0,30266.0,21403.0,26207.0
